city,gdp,ppp,,,,,,,,,,,,,,,,,,
Delhi NCR,186.14,655,,,,,,,,,,,,,,,,,,
Mumbai,162.44,453,,,,,,,,,,,,,,,,,,
Bengaluru,112.42,369,,,,,,,,,,,,,,,,,,
Chennai,91.53,323,,,,,,,,,,,,,,,,,,
Hyderabad,80.06,303,,,,,,,,,,,,,,,,,,
Kolkata,75.21,244,,,,,,,,,,,,,,,,,,
Ahmedabad,64.85,204,,,,,,,,,,,,,,,,,,
Pune,50.62,171,,,,,,,,,,,,,,,,,,
Surat,42.34,131,,,,,,,,,,,,,,,,,,
Coimbatore,32.5,85,,,,,,,,,,,,,,,,,,
Visakhapatnam,21.07,83,,,,,,,,,,,,,,,,,,
Vadodara,20.68,75,,,,,,,,,,,,,,,,,,
Nagpur,18.48,73,,,,,,,,,,,,,,,,,,
Jaipur,18.13,67,,,,,,,,,,,,,,,,,,
Kochi,16.46,60,,,,,,,,,,,,,,,,,,
Andhra Pradesh Capital Region ,14.79,57,,,,,,,,,,,,,,,,,,
Rajkot,14.09,52,,,,,,,,,,,,,,,,,,
Thrissur,12.81,49,,,,,,,,,,,,,,,,,,
Thirvananthapuram,12.19,47,,,,,,,,,,,,,,,,,,
Kollam,11.81,47,,,,,,,,,,,,,,,,,,
Chandigarh,11.7,45,,,,,,,,,,,,,,,,,,
Patna,11.12,44,,,,,,,,,,,,,,,,,,
Lucknow,10.92,44,,,,,,,,,,,,,,,,,,
Malappuram,10.84,42,,,,,,,,,,,,,,,,,,
Asansol,10.48,42,,,,,,,,,,,,,,,,,,
Nashik,10.46,42,,,,,,,,,,,,,,,,,,
Kozhikode,10.44,41,,,,,,,,,,,,,,,,,,
Bhubaneswar,10.21,40,,,,,,,,,,,,,,,,,,
Indore,10.02,40,,,,,,,,,,,,,,,,,,
Alappuzha ,10,40,,,,,,,,,,,,,,,,,,
Raipur,9.97,38,,,,,,,,,,,,,,,,,,
Mangalore,9.5,35,,,,,,,,,,,,,,,,,,
Agra,8.76,35,,,,,,,,,,,,,,,,,,
Ludhiana,8.7,35,,,,,,,,,,,,,,,,,,
Madurai,8.66,35,,,,,,,,,,,,,,,,,,
Kannur,8.64,33,,,,,,,,,,,,,,,,,,
Kanpur,8.19,32,,,,,,,,,,,,,,,,,,
Jamnagar,7.87,31,,,,,,,,,,,,,,,,,,
Tiruchirappalli,7.61,30,,,,,,,,,,,,,,,,,,
Erode,7.51,30,,,,,,,,,,,,,,,,,,
Mysore,7.43,29,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhajinagar,7.16,29,,,,,,,,,,,,,,,,,,
Vellore,7.11,29,,,,,,,,,,,,,,,,,,
Meerut,7.08,28,,,,,,,,,,,,,,,,,,
Salem,7.03,28,,,,,,,,,,,,,,,,,,
Bhopal,6.84,27,,,,,,,,,,,,,,,,,,
Jabalpur,6.58,26,,,,,,,,,,,,,,,,,,
Hubli–Dharwad,6.41,25,,,,,,,,,,,,,,,,,,
Kottayam,6.3,22,,,,,,,,,,,,,,,,,,
Dhanbad,5.35,19,,,,,,,,,,,,,,,,,,
Jamshedpur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,Jamshedpur,Jharkhand,₹380.22 billion(US$4.6 billion),19,,,,
