iter	F1	Logloss
0	0.8849233843	0.6221830692
1	0.8891676243	0.5600620686
2	0.8896035514	0.5096045648
3	0.8910097625	0.4655528269
4	0.8906401866	0.4306585465
5	0.8910597315	0.4002160178
6	0.8920226604	0.375377662
7	0.8922180945	0.3537883228
8	0.8924252379	0.3355419717
9	0.8932920403	0.3180183106
10	0.8946971723	0.3041759675
11	0.894246442	0.292310222
12	0.8950206359	0.2817328087
13	0.8954875329	0.2729630875
14	0.8958666158	0.2662028323
15	0.8958716824	0.2591899599
16	0.8963867148	0.2532035448
17	0.8973539998	0.2476058627
18	0.897651592	0.2431298107
19	0.8979221074	0.2385679574
20	0.898471474	0.2351952926
21	0.8987536919	0.2318061375
22	0.8992797586	0.228478926
23	0.899469354	0.2258467041
24	0.8999391604	0.2232842274
25	0.900245756	0.2206860436
26	0.9006957622	0.2185574438
27	0.9008612999	0.216943914
28	0.9008397907	0.215412871
29	0.9013698408	0.213408123
30	0.9016398761	0.2116730994
31	0.9018224288	0.2104493709
32	0.9021802609	0.2092193944
33	0.9024700872	0.2079441693
34	0.902841757	0.2068504978
35	0.9031588169	0.205791957
36	0.9033864219	0.2045660417
37	0.9036531383	0.2034114645
38	0.9037984534	0.2024564395
39	0.9042048688	0.2015647503
40	0.9045820092	0.2007884873
41	0.9046685038	0.2000213473
42	0.9051401339	0.1992652065
43	0.9052281754	0.1986435851
44	0.9055402044	0.1979282642
45	0.9057676883	0.1973573196
46	0.905697064	0.1967411336
47	0.9058052601	0.1962260584
48	0.9060968596	0.1956066131
49	0.9061637013	0.1950956539
50	0.9062517717	0.1946420321
51	0.9065122307	0.1940757963
52	0.9069083663	0.1934581414
53	0.9070643413	0.1929879079
54	0.9074078573	0.1926094096
55	0.9074976919	0.1922620799
56	0.9075462835	0.1919034971
57	0.9076687638	0.1913160336
58	0.9078838712	0.1910037186
59	0.907839772	0.1906454935
60	0.9080164814	0.1901947729
61	0.9083050024	0.1897141389
62	0.9085787825	0.1892954259
63	0.9089408395	0.1889328255
64	0.9093233436	0.1885797811
65	0.9094365878	0.188007573
66	0.9094954529	0.1877131038
67	0.9098129934	0.1872728989
68	0.9098571498	0.186931408
69	0.9098762436	0.1866763452
70	0.9101527113	0.186253858
71	0.9102410613	0.1858869948
72	0.910488085	0.1855557666
73	0.9105704209	0.1853070787
74	0.9107259832	0.1851004692
75	0.9106778838	0.1849344596
76	0.9108291073	0.1844771703
77	0.9108143739	0.1844176265
78	0.9109746925	0.1841678046
79	0.9112683459	0.1838215866
80	0.9113758218	0.1834253889
81	0.9116239206	0.183158218
82	0.9118664899	0.1829538682
83	0.9119677884	0.1826757335
84	0.9120489039	0.1822244588
85	0.91206792	0.1820679052
86	0.9120636538	0.1818870003
87	0.9120795602	0.1816412841
88	0.9121501977	0.1813979977
89	0.9126047159	0.1809802486
90	0.9126141354	0.1806539155
91	0.9128799825	0.1804800006
