iter	Passed	Remaining
0	99	29838
1	229	34152
2	314	31089
3	364	26986
4	454	26805
5	533	26154
6	605	25355
7	679	24815
8	756	24448
9	820	23790
10	871	22894
11	939	22540
12	990	21875
13	1041	21272
14	1098	20880
15	1197	21262
16	1287	21429
17	1381	21643
18	1454	21515
19	1519	21276
20	1570	20868
21	1628	20574
22	1694	20411
23	1772	20381
24	1830	20130
25	1885	19869
26	1952	19743
27	2018	19612
28	2121	19820
29	2196	19766
30	2271	19714
31	2343	19630
32	2415	19542
33	2487	19462
34	2556	19355
35	2629	19282
36	2706	19237
37	2774	19130
38	2840	19008
39	2914	18944
40	2974	18792
41	3042	18690
42	3107	18574
43	3163	18403
44	3223	18264
45	3275	18087
46	3373	18156
47	3426	17987
48	3480	17827
49	3538	17693
50	3605	17602
51	3668	17498
52	3730	17384
53	3785	17246
54	3845	17131
55	3896	16976
56	3952	16851
57	4009	16729
58	4063	16597
59	4112	16450
60	4160	16300
61	4216	16185
62	4289	16137
63	4369	16113
64	4458	16120
65	4553	16143
66	4628	16097
67	4698	16029
68	4760	15937
69	4808	15799
70	4864	15689
71	4914	15562
72	4963	15435
73	5010	15302
74	5089	15267
75	5160	15208
76	5245	15191
77	5272	15005
78	5340	14939
79	5431	14935
80	5506	14887
81	5580	14835
82	5633	14728
83	5698	14654
84	5765	14584
85	5823	14491
86	5881	14400
87	5939	14308
88	5989	14199
89	6042	14099
90	6093	13993
91	6139	13879
92	6200	13801
93	6273	13748
94	6342	13686
95	6407	13615
96	6467	13535
97	6528	13456
98	6579	13358
99	6628	13257
100	6672	13146
101	6722	13049
102	6768	12945
103	6814	12843
104	6864	12747
105	6911	12649
106	6951	12538
107	7001	12446
108	7057	12367
109	7113	12287
110	7168	12205
111	7232	12140
112	7309	12096
113	7376	12034
114	7427	11949
115	7484	11871
116	7528	11775
117	7577	11687
118	7631	11607
119	7687	11530
120	7741	11452
121	7798	11378
122	7846	11291
123	7895	11205
124	7941	11118
125	7984	11025
126	8033	10943
127	8085	10864
128	8131	10778
129	8178	10694
130	8226	10613
131	8275	10532
132	8325	10454
133	8373	10372
134	8421	10293
135	8471	10216
136	8517	10134
137	8565	10055
138	8611	9974
139	8654	9890
140	8698	9808
141	8748	9734
142	8794	9655
143	8841	9577
144	8890	9503
145	8941	9431
146	8988	9355
147	9034	9278
148	9081	9203
149	9129	9129
150	9180	9058
151	9236	8993
152	9287	8923
153	9336	8851
154	9382	8776
155	9428	8702
156	9481	8636
157	9495	8533
158	9539	8459
159	9590	8391
160	9641	8324
161	9691	8255
162	9728	8176
163	9770	8102
164	9811	8027
165	9855	7955
166	9901	7885
167	9944	7813
168	9988	7742
169	10033	7672
170	10075	7601
171	10115	7527
172	10159	7458
173	10203	7388
174	10243	7317
175	10287	7247
176	10332	7180
177	10372	7109
178	10417	7042
179	10459	6973
180	10501	6904
181	10585	6863
182	10635	6800
183	10677	6731
184	10724	6666
185	10764	6597
186	10802	6527
187	10846	6461
188	10888	6394
189	10932	6329
190	10973	6262
191	11012	6194
192	11054	6128
193	11094	6062
194	11136	5996
195	11180	5932
196	11224	5868
197	11266	5803
198	11305	5737
199	11349	5674
200	11393	5611
201	11433	5547
202	11475	5483
203	11513	5418
204	11552	5353
205	11594	5290
206	11638	5228
207	11680	5166
208	11721	5103
209	11761	5040
210	11800	4977
211	11842	4915
212	11883	4853
213	11924	4791
214	11964	4730
215	12008	4670
216	12050	4609
217	12095	4549
218	12136	4488
219	12177	4428
220	12219	4367
221	12260	4307
222	12304	4248
223	12345	4188
224	12387	4129
225	12430	4070
226	12472	4011
227	12515	3952
228	12555	3892
229	12598	3834
230	12642	3776
231	12684	3717
232	12730	3660
233	12770	3601
234	12816	3545
235	12861	3487
236	12910	3431
237	12953	3374
238	12994	3316
239	13036	3259
240	13080	3202
241	13125	3145
242	13166	3088
243	13210	3031
244	13251	2974
245	13293	2918
246	13344	2863
247	13408	2811
248	13455	2755
249	13498	2699
250	13540	2643
251	13589	2588
252	13632	2532
253	13677	2477
254	13719	2421
255	13758	2364
256	13797	2308
257	13839	2252
258	13879	2197
259	13926	2142
260	13970	2087
261	14011	2032
262	14058	1977
263	14098	1922
264	14140	1867
265	14184	1813
266	14227	1758
267	14268	1703
268	14304	1648
269	14344	1593
270	14385	1539
271	14429	1485
272	14473	1431
273	14517	1377
274	14560	1323
275	14599	1269
276	14638	1215
277	14679	1161
278	14720	1108
279	14768	1054
280	14831	1002
281	14881	949
282	14947	897
283	15008	845
284	15067	793
285	15126	740
286	15182	687
287	15236	634
288	15288	581
289	15333	528
290	15383	475
291	15430	422
292	15478	369
293	15525	316
294	15571	263
295	15625	211
296	15674	158
297	15721	105
298	15767	52
299	15809	0
