Feature,Mean_Abs_SHAP,Importance_Rank
age,0.10663921251365822,1
suicidal_thoughts,0.060309811744556976,2
working_student,0.05516797294340466,3
financial_stress,0.03546238315401171,4
workstudy_hours,0.023404433779170473,5
work_pressure,0.022760510370473774,6
academic_pressure,0.0224019923451937,7
job_satisfaction,0.019332343226263968,8
dietary_habits,0.018161930127525087,9
sleep_duration,0.01172768836142247,10
study_satisfaction,0.0055414090560626595,11
family_mental_illness,0.004890098611882712,12
degree,0.002494006230518917,13
profession,0.0016401073362084322,14
cgpa,0.001143612013748501,15
gender,0.0009540422737508644,16
